Order Reference,Order Date,Delivery Date,Customer,Salesperson,Status,Product,Product Name,Product Qty,Unit Price,Subtotal,id,phone,email,user_id/login,street,city,country_id/id,Name,Variant Tags,Variant Values,Internal Reference,Sales Price,Cost_y,Activity Exception Decoration
SO01010,2024-06-05,2025-01-06,Hale-Johnson,Lori Le,Sales Order,NEW_SKU_1012,Visualize proactive communities,1,155.52,155.52,__import__.partner_10,619266493.0,hale-johnson@example.com,mitchell.admin@example.com,860 Example St,City40,base.us,Product NEW_SKU_1012,Power,Red,INT-5573,148.15,245.04,info
SO01011,2025-01-08,2025-04-01,"Carter, Lee and Church",Kenneth James,Sales Order,NEW_SKU_1052,Enable magnetic niches,9,227.45,2047.05,__import__.partner_11,689552412.0,"carter,_lee_and_church@example.com",mitchell.admin@example.com,691 Example St,City50,base.us,Product NEW_SKU_1052,Size,Large,INT-1277,136.34,28.87,success
SO01012,2024-12-30,2025-01-30,Morales LLC,Angelica Singh,Sales Order,NEW_SKU_1075,Scale e-business e-commerce,3,480.7,1442.1,__import__.partner_12,646431736.0,morales_llc@example.com,mitchell.admin@example.com,507 Example St,City96,base.us,Product NEW_SKU_1075,Color,Steel,INT-4166,230.07,5.51,info
SO01013,2025-01-10,2025-01-27,Shields Ltd,Mark Smith,Sales Order,NEW_SKU_1060,Reinvent global e-business,17,319.95,5439.15,__import__.partner_13,638058799.0,shields_ltd@example.com,mitchell.admin@example.com,689 Example St,City69,base.us,Product NEW_SKU_1060,Color,Red,INT-1427,411.03,105.55,info
SO01014,2025-04-04,2025-05-16,Martinez Ltd,Shelby Adams,Sales Order,NEW_SKU_1080,Mesh strategic partnerships,12,485.97,5831.64,__import__.partner_14,647819663.0,martinez_ltd@example.com,mitchell.admin@example.com,13 Example St,City35,base.us,Product NEW_SKU_1080,Power,Red,INT-3341,268.76,268.37,success
SO01015,2025-03-19,2025-04-29,"Simpson, Munoz and Giles",Latoya Cox,Sales Order,NEW_SKU_1096,Synergize synergistic communities,5,393.3,1966.5,__import__.partner_15,660844793.0,"simpson,_munoz_and_giles@example.com",mitchell.admin@example.com,494 Example St,City11,base.us,Product NEW_SKU_1096,Color,Large,INT-1676,366.25,83.1,error
SO01016,2024-08-20,2024-11-04,Sanchez-Holloway,Christopher Schultz,Sales Order,NEW_SKU_1071,Syndicate killer systems,18,398.65,7175.7,__import__.partner_16,650569065.0,sanchez-holloway@example.com,mitchell.admin@example.com,727 Example St,City70,base.us,Product NEW_SKU_1071,Material,Large,INT-3423,233.29,193.05,info
SO01017,2024-12-08,2024-12-14,"Olson, Washington and Jones",Gerald Bell,Sales Order,NEW_SKU_1033,Enhance user-centric networks,14,307.75,4308.5,__import__.partner_17,672573009.0,"olson,_washington_and_jones@example.com",mitchell.admin@example.com,473 Example St,City92,base.us,Product NEW_SKU_1033,Size,Red,INT-7016,101.96,58.21,info
SO01018,2024-08-19,2024-08-27,"Williams, Arnold and Vega",Megan Lynch,Sales Order,NEW_SKU_1072,Harness global roi,19,264.32,5022.08,__import__.partner_18,635206592.0,"williams,_arnold_and_vega@example.com",mitchell.admin@example.com,197 Example St,City3,base.us,Product NEW_SKU_1072,Color,Large,INT-4261,49.53,265.41,info
SO01019,2024-12-30,2025-05-06,Ball Ltd,Daniel Lowe,Sales Order,NEW_SKU_1047,Scale dot-com e-business,20,252.98,5059.599999999999,__import__.partner_19,648254056.0,ball_ltd@example.com,mitchell.admin@example.com,425 Example St,City18,base.us,Product NEW_SKU_1047,Color,200W,INT-8029,52.33,237.49,info
SO01020,2024-10-22,2025-01-09,"Rodriguez, Avila and Martinez",Jimmy Gutierrez,Sales Order,NEW_SKU_1009,Re-intermediate cutting-edge synergies,20,480.17,9603.4,__import__.partner_20,611675313.0,"rodriguez,_avila_and_martinez@example.com",mitchell.admin@example.com,206 Example St,City75,base.us,Product NEW_SKU_1009,Power,Large,INT-4264,249.94,63.53,warning
SO01021,2024-10-22,2024-12-05,"Whitney, Rodriguez and Knight",Joy Taylor,Sales Order,NEW_SKU_1004,Grow best-of-breed mindshare,1,213.42,213.42,__import__.partner_21,648355415.0,"whitney,_rodriguez_and_knight@example.com",mitchell.admin@example.com,654 Example St,City40,base.us,Product NEW_SKU_1004,Material,Large,INT-2829,264.87,279.42,error
SO01022,2025-03-31,2025-05-11,Zimmerman Inc,Dr. Christopher Torres,Sales Order,NEW_SKU_1043,Iterate strategic applications,11,268.78,2956.58,__import__.partner_22,635285024.0,zimmerman_inc@example.com,mitchell.admin@example.com,521 Example St,City43,base.us,Product NEW_SKU_1043,Material,Red,INT-8875,88.27,162.96,info
SO01023,2025-02-27,2025-03-22,"Smith, Sanchez and Jacobs",Ann Kelley,Sales Order,NEW_SKU_1021,Productize innovative partnerships,16,145.7,2331.2,__import__.partner_23,633765371.0,"smith,_sanchez_and_jacobs@example.com",mitchell.admin@example.com,926 Example St,City2,base.us,Product NEW_SKU_1021,Color,Steel,INT-1991,272.22,119.39,success
SO01024,2024-08-07,2024-11-29,Newman Group,Jennifer Valenzuela,Sales Order,NEW_SKU_1006,Leverage rich partnerships,3,105.93,317.79,__import__.partner_24,685270382.0,newman_group@example.com,mitchell.admin@example.com,958 Example St,City42,base.us,Product NEW_SKU_1006,Color,Red,INT-9633,496.41,200.67,info
SO01025,2024-07-11,2024-09-04,Green PLC,Dennis Davis,Sales Order,NEW_SKU_1017,Architect value-added vortals,6,258.09,1548.54,__import__.partner_25,683247199.0,green_plc@example.com,mitchell.admin@example.com,935 Example St,City43,base.us,Product NEW_SKU_1017,Power,Red,INT-8365,407.91,87.46,error
SO01026,2025-04-04,2025-05-19,Vazquez Inc,Tony Drake,Sales Order,NEW_SKU_1060,Reinvent global e-business,15,319.95,4799.25,__import__.partner_26,628866378.0,vazquez_inc@example.com,mitchell.admin@example.com,637 Example St,City59,base.us,Product NEW_SKU_1060,Power,Steel,INT-2366,323.92,15.84,warning
SO01027,2024-05-10,2024-12-06,Lane-Grimes,Jeff Marsh,Sales Order,NEW_SKU_1023,Seize visionary markets,19,384.53,7306.07,__import__.partner_27,645360370.0,lane-grimes@example.com,mitchell.admin@example.com,505 Example St,City51,base.us,Product NEW_SKU_1023,Size,200W,INT-4638,154.46,125.17,warning
SO01028,2024-11-20,2024-11-29,Stephens LLC,Erik Scott,Sales Order,NEW_SKU_1047,Scale dot-com e-business,6,252.98,1517.88,__import__.partner_28,688591712.0,stephens_llc@example.com,mitchell.admin@example.com,66 Example St,City11,base.us,Product NEW_SKU_1047,Material,200W,INT-8394,306.42,195.4,success
SO01029,2024-07-28,2025-02-19,Brown-Hoffman,Michelle Leonard,Sales Order,NEW_SKU_1091,Expedite dot-com relationships,2,323.23,646.46,__import__.partner_29,624486215.0,brown-hoffman@example.com,mitchell.admin@example.com,557 Example St,City79,base.us,Product NEW_SKU_1091,Power,200W,INT-6074,388.03,31.8,warning
SO01030,2024-12-31,2025-03-04,Rodriguez and Sons,Melanie Nash,Sales Order,NEW_SKU_1098,Implement front-end architectures,18,126.34,2274.12,__import__.partner_30,641345098.0,rodriguez_and_sons@example.com,mitchell.admin@example.com,565 Example St,City86,base.us,Product NEW_SKU_1098,Color,Steel,INT-2605,163.46,12.57,error
SO01031,2024-09-13,2025-03-19,Scott-Rogers,Anna Smith,Sales Order,NEW_SKU_1016,Engineer intuitive systems,8,373.55,2988.4,__import__.partner_31,686434465.0,scott-rogers@example.com,mitchell.admin@example.com,153 Example St,City5,base.us,Product NEW_SKU_1016,Color,200W,INT-4221,476.05,294.78,error
SO01032,2024-10-16,2025-05-11,Hernandez-Singh,Lauren Cruz,Sales Order,NEW_SKU_1053,Engineer b2b solutions,13,439.39,5712.07,__import__.partner_32,689827944.0,hernandez-singh@example.com,mitchell.admin@example.com,930 Example St,City38,base.us,Product NEW_SKU_1053,Power,Large,INT-5973,15.42,160.67,error
SO01033,2025-03-01,2025-05-02,"Martin, Wallace and Davis",Ronald Barnett,Sales Order,NEW_SKU_1035,Deploy plug-and-play roi,20,435.43,8708.6,__import__.partner_33,643888959.0,"martin,_wallace_and_davis@example.com",mitchell.admin@example.com,612 Example St,City84,base.us,Product NEW_SKU_1035,Size,Steel,INT-2695,175.37,180.14,error
SO01034,2025-01-16,2025-01-30,Martin LLC,Michelle Aguilar,Sales Order,NEW_SKU_1009,Re-intermediate cutting-edge synergies,20,480.17,9603.4,__import__.partner_34,690660020.0,martin_llc@example.com,mitchell.admin@example.com,204 Example St,City7,base.us,Product NEW_SKU_1009,Power,Large,INT-5131,334.53,258.01,warning
SO01035,2024-11-30,2025-01-30,"Herrera, Noble and Wilson",Barbara Love,Sales Order,NEW_SKU_1059,Innovate best-of-breed portals,16,264.92,4238.72,__import__.partner_35,613645756.0,"herrera,_noble_and_wilson@example.com",mitchell.admin@example.com,926 Example St,City30,base.us,Product NEW_SKU_1059,Power,Red,INT-6129,301.97,245.37,error
SO01036,2024-12-25,2025-05-19,"Holden, Brewer and Turner",Chad Shepherd,Sales Order,NEW_SKU_1091,Expedite dot-com relationships,13,323.23,4201.99,__import__.partner_36,641500198.0,"holden,_brewer_and_turner@example.com",mitchell.admin@example.com,648 Example St,City34,base.us,Product NEW_SKU_1091,Color,Red,INT-2435,134.39,279.3,info
SO01037,2024-09-21,2025-01-14,"Guerrero, Gill and Williams",Sarah Taylor,Sales Order,NEW_SKU_1050,Transition magnetic web-readiness,2,443.16,886.32,__import__.partner_37,692278077.0,"guerrero,_gill_and_williams@example.com",mitchell.admin@example.com,755 Example St,City55,base.us,Product NEW_SKU_1050,Size,Red,INT-5377,445.93,38.51,warning
SO01038,2025-03-30,2025-05-09,Rhodes Inc,Karen Martin,Sales Order,NEW_SKU_1082,Expedite proactive technologies,2,166.87,333.74,__import__.partner_38,674639803.0,rhodes_inc@example.com,mitchell.admin@example.com,805 Example St,City68,base.us,Product NEW_SKU_1082,Material,Large,INT-9170,43.54,35.11,warning
SO01039,2025-02-08,2025-05-14,Ross-Harrison,Amanda Ramirez,Sales Order,NEW_SKU_1035,Deploy plug-and-play roi,11,435.43,4789.7300000000005,__import__.partner_39,617510402.0,ross-harrison@example.com,mitchell.admin@example.com,41 Example St,City26,base.us,Product NEW_SKU_1035,Size,200W,INT-9681,150.14,58.08,success
SO01040,2024-07-22,2025-01-04,"Aguilar, Dunn and Gill",Nancy Carlson,Sales Order,NEW_SKU_1059,Innovate best-of-breed portals,5,264.92,1324.6,__import__.partner_40,655383100.0,"aguilar,_dunn_and_gill@example.com",mitchell.admin@example.com,824 Example St,City51,base.us,Product NEW_SKU_1059,Material,200W,INT-4594,83.47,147.3,info
SO01041,2025-03-13,2025-03-26,Warren Ltd,Amanda Mccann,Sales Order,NEW_SKU_1062,Incentivize end-to-end metrics,9,423.33,3809.97,__import__.partner_41,611092423.0,warren_ltd@example.com,mitchell.admin@example.com,265 Example St,City61,base.us,Product NEW_SKU_1062,Material,Red,INT-8568,443.2,75.81,info
SO01042,2024-10-25,2025-04-27,"Diaz, Graves and Garcia",Denise Carlson,Sales Order,NEW_SKU_1065,Extend front-end infrastructures,14,460.01,6440.139999999999,__import__.partner_42,612986232.0,"diaz,_graves_and_garcia@example.com",mitchell.admin@example.com,318 Example St,City25,base.us,Product NEW_SKU_1065,Size,200W,INT-4142,422.48,284.23,info
SO01043,2024-05-03,2025-05-11,Mooney LLC,Wayne Johnson,Sales Order,NEW_SKU_1092,Expedite dot-com supply-chains,15,153.0,2295.0,__import__.partner_43,620847837.0,mooney_llc@example.com,mitchell.admin@example.com,948 Example St,City75,base.us,Product NEW_SKU_1092,Size,Red,INT-3796,423.83,205.05,warning
SO01044,2024-11-23,2024-12-16,Ross-James,Elizabeth Wilson,Sales Order,NEW_SKU_1082,Expedite proactive technologies,7,166.87,1168.09,__import__.partner_44,656968323.0,ross-james@example.com,mitchell.admin@example.com,938 Example St,City68,base.us,Product NEW_SKU_1082,Size,Steel,INT-4655,461.01,160.06,success
SO01045,2024-08-09,2024-11-12,Sullivan Inc,Dr. Cassandra Butler,Sales Order,NEW_SKU_1034,Envisioneer front-end niches,9,478.58,4307.22,__import__.partner_45,699591925.0,sullivan_inc@example.com,mitchell.admin@example.com,438 Example St,City70,base.us,Product NEW_SKU_1034,Power,Steel,INT-4852,112.65,151.36,warning
SO01046,2024-10-04,2024-11-26,"Lopez, Turner and Johnson",Holly Mckenzie,Sales Order,NEW_SKU_1037,Envisioneer customized users,11,299.31,3292.41,__import__.partner_46,686208749.0,"lopez,_turner_and_johnson@example.com",mitchell.admin@example.com,848 Example St,City80,base.us,Product NEW_SKU_1037,Power,Steel,INT-5504,21.12,141.88,info
SO01047,2025-04-01,2025-04-19,Martin-Baker,Robert Cardenas,Sales Order,NEW_SKU_1078,Orchestrate viral synergies,11,329.56,3625.16,__import__.partner_47,634495968.0,martin-baker@example.com,mitchell.admin@example.com,355 Example St,City50,base.us,Product NEW_SKU_1078,Material,Large,INT-4255,380.38,78.0,error
SO01048,2025-01-08,2025-04-05,Adkins LLC,Daniel Ruiz,Sales Order,NEW_SKU_1094,Deliver proactive e-services,4,360.19,1440.76,__import__.partner_48,675101053.0,adkins_llc@example.com,mitchell.admin@example.com,971 Example St,City34,base.us,Product NEW_SKU_1094,Power,Steel,INT-8988,57.25,195.55,error
SO01049,2025-02-16,2025-02-27,"Lloyd, Peck and Hester",Allison Russell,Sales Order,NEW_SKU_1046,Cultivate open-source markets,18,193.56,3484.08,__import__.partner_49,615002604.0,"lloyd,_peck_and_hester@example.com",mitchell.admin@example.com,747 Example St,City14,base.us,Product NEW_SKU_1046,Size,Steel,INT-7316,42.75,242.99,error
SO01050,2024-11-13,2025-01-06,Thomas Inc,Jared Lindsey,Sales Order,NEW_SKU_1003,Unleash seamless synergies,12,210.33,2523.96,__import__.partner_50,624571942.0,thomas_inc@example.com,mitchell.admin@example.com,915 Example St,City43,base.us,Product NEW_SKU_1003,Power,Red,INT-8477,398.37,175.45,warning
SO01051,2024-06-09,2024-11-02,Baker and Sons,Annette Sampson,Sales Order,NEW_SKU_1036,Monetize dynamic schemas,8,310.47,2483.76,__import__.partner_51,617919378.0,baker_and_sons@example.com,mitchell.admin@example.com,672 Example St,City14,base.us,Product NEW_SKU_1036,Power,Steel,INT-4763,138.27,31.21,info
SO01052,2024-08-18,2025-01-02,Tucker-Bray,Eric Palmer,Sales Order,NEW_SKU_1058,Facilitate visionary models,13,403.76,5248.88,__import__.partner_52,632432432.0,tucker-bray@example.com,mitchell.admin@example.com,530 Example St,City1,base.us,Product NEW_SKU_1058,Power,Red,INT-9659,95.68,162.39,error
SO01053,2024-07-11,2025-05-16,Braun-Richardson,Elizabeth Barrett,Sales Order,NEW_SKU_1020,Deliver 24/365 channels,16,450.97,7215.52,__import__.partner_53,638056494.0,braun-richardson@example.com,mitchell.admin@example.com,665 Example St,City32,base.us,Product NEW_SKU_1020,Material,Steel,INT-8330,419.8,94.24,warning
SO01054,2024-07-23,2025-01-13,Kirk LLC,Christopher Lewis,Sales Order,NEW_SKU_1052,Enable magnetic niches,11,227.45,2501.95,__import__.partner_54,651186874.0,kirk_llc@example.com,mitchell.admin@example.com,444 Example St,City19,base.us,Product NEW_SKU_1052,Size,200W,INT-7438,313.96,293.19,error
SO01055,2025-04-19,2025-05-17,Kim LLC,Kathy Parsons,Sales Order,NEW_SKU_1099,Re-contextualize viral users,17,265.68,4516.56,__import__.partner_55,678538584.0,kim_llc@example.com,mitchell.admin@example.com,185 Example St,City90,base.us,Product NEW_SKU_1099,Power,Red,INT-3644,263.93,178.38,error
SO01056,2024-10-30,2025-04-03,Warren Group,Kenneth Holland,Sales Order,NEW_SKU_1050,Transition magnetic web-readiness,4,443.16,1772.64,__import__.partner_56,667189597.0,warren_group@example.com,mitchell.admin@example.com,406 Example St,City65,base.us,Product NEW_SKU_1050,Color,Steel,INT-6614,86.09,255.0,error
SO01057,2025-02-05,2025-04-19,Santos LLC,Cynthia Clark,Sales Order,NEW_SKU_1000,Scale visionary mindshare,11,433.01,4763.11,__import__.partner_57,652228711.0,santos_llc@example.com,mitchell.admin@example.com,617 Example St,City85,base.us,Product NEW_SKU_1000,Material,Red,INT-7062,142.55,235.1,error
SO01058,2024-09-28,2024-10-21,Hancock-Cooper,Catherine Payne,Sales Order,NEW_SKU_1082,Expedite proactive technologies,14,166.87,2336.1800000000003,__import__.partner_58,637967979.0,hancock-cooper@example.com,mitchell.admin@example.com,638 Example St,City67,base.us,Product NEW_SKU_1082,Size,Red,INT-5355,474.12,200.87,info
SO01059,2024-07-31,2025-04-23,Glover PLC,Taylor Brady,Sales Order,NEW_SKU_1000,Scale visionary mindshare,6,433.01,2598.06,__import__.partner_59,676458920.0,glover_plc@example.com,mitchell.admin@example.com,865 Example St,City1,base.us,Product NEW_SKU_1000,Material,Red,INT-9746,17.23,21.02,warning
SO01060,2024-05-13,2024-08-01,Cole-Keller,Adam Phillips,Sales Order,NEW_SKU_1061,Re-contextualize interactive platforms,5,211.24,1056.2,__import__.partner_60,654604829.0,cole-keller@example.com,mitchell.admin@example.com,794 Example St,City7,base.us,Product NEW_SKU_1061,Power,Red,INT-2071,418.06,248.68,success
SO01061,2025-03-09,2025-05-16,Moore LLC,Kimberly Solomon,Sales Order,NEW_SKU_1098,Implement front-end architectures,6,126.34,758.04,__import__.partner_61,659335611.0,moore_llc@example.com,mitchell.admin@example.com,31 Example St,City86,base.us,Product NEW_SKU_1098,Material,200W,INT-7489,47.7,84.65,warning
SO01062,2024-06-30,2025-04-27,"Wilson, Anderson and Jones",Chad Francis,Sales Order,NEW_SKU_1008,Synergize bleeding-edge relationships,17,447.86,7613.62,__import__.partner_62,638775467.0,"wilson,_anderson_and_jones@example.com",mitchell.admin@example.com,528 Example St,City99,base.us,Product NEW_SKU_1008,Size,200W,INT-1668,421.31,56.97,info
SO01063,2024-09-27,2025-03-25,Martin Group,Kyle Freeman,Sales Order,NEW_SKU_1041,Seize 24/7 synergies,17,92.15,1566.5500000000002,__import__.partner_63,616496730.0,martin_group@example.com,mitchell.admin@example.com,930 Example St,City4,base.us,Product NEW_SKU_1041,Power,Steel,INT-6328,139.35,56.74,warning
SO01064,2024-12-08,2025-04-23,"Chambers, Davis and Green",Sherry Rodriguez,Sales Order,NEW_SKU_1032,Morph visionary action-items,12,305.54,3666.480000000001,__import__.partner_64,690942427.0,"chambers,_davis_and_green@example.com",mitchell.admin@example.com,150 Example St,City57,base.us,Product NEW_SKU_1032,Material,Large,INT-9806,35.83,216.47,info
SO01065,2024-09-30,2025-03-11,Cox-Stevens,Kimberly Jones,Sales Order,NEW_SKU_1033,Enhance user-centric networks,1,307.75,307.75,__import__.partner_65,684725421.0,cox-stevens@example.com,mitchell.admin@example.com,762 Example St,City28,base.us,Product NEW_SKU_1033,Power,Steel,INT-1392,333.02,19.53,error
SO01066,2024-05-16,2024-10-29,Lopez Inc,Robin Lee,Sales Order,NEW_SKU_1065,Extend front-end infrastructures,19,460.01,8740.19,__import__.partner_66,636623631.0,lopez_inc@example.com,mitchell.admin@example.com,645 Example St,City54,base.us,Product NEW_SKU_1065,Power,Large,INT-8094,62.52,249.31,warning
SO01067,2024-05-06,2025-03-18,Rivera-Jenkins,Steven Peterson,Sales Order,NEW_SKU_1095,Re-intermediate dot-com schemas,15,234.61,3519.15,__import__.partner_67,663125247.0,rivera-jenkins@example.com,mitchell.admin@example.com,659 Example St,City18,base.us,Product NEW_SKU_1095,Color,200W,INT-7684,172.42,210.46,info
SO01068,2025-01-08,2025-02-17,"Downs, Jones and Myers",Paul Browning,Sales Order,NEW_SKU_1068,Scale b2b niches,7,381.77,2672.39,__import__.partner_68,689612479.0,"downs,_jones_and_myers@example.com",mitchell.admin@example.com,613 Example St,City82,base.us,Product NEW_SKU_1068,Color,Red,INT-8067,338.87,281.59,error
SO01069,2024-09-09,2024-12-24,"Solomon, Hicks and Kelly",James Scott,Sales Order,NEW_SKU_1098,Implement front-end architectures,16,126.34,2021.44,__import__.partner_69,669122780.0,"solomon,_hicks_and_kelly@example.com",mitchell.admin@example.com,656 Example St,City41,base.us,Product NEW_SKU_1098,Power,Large,INT-9644,314.62,169.24,success
SO01070,2024-12-19,2025-01-12,Wiley and Sons,Hannah Moss,Sales Order,NEW_SKU_1081,Scale wireless eyeballs,9,150.73,1356.57,__import__.partner_70,654151529.0,wiley_and_sons@example.com,mitchell.admin@example.com,566 Example St,City8,base.us,Product NEW_SKU_1081,Material,Large,INT-7394,54.3,120.4,success
SO01071,2025-03-29,2025-03-30,"Macias, Vega and Ross",Amy Ryan,Sales Order,NEW_SKU_1023,Seize visionary markets,11,384.53,4229.83,__import__.partner_71,654001155.0,"macias,_vega_and_ross@example.com",mitchell.admin@example.com,174 Example St,City85,base.us,Product NEW_SKU_1023,Material,Red,INT-7561,269.54,188.79,warning
SO01072,2024-05-08,2025-02-21,Johnson-Smith,Elizabeth Mitchell,Sales Order,NEW_SKU_1070,Integrate one-to-one networks,13,289.83,3767.79,__import__.partner_72,677516348.0,johnson-smith@example.com,mitchell.admin@example.com,515 Example St,City77,base.us,Product NEW_SKU_1070,Material,200W,INT-4681,42.23,282.77,success
SO01073,2025-01-01,2025-03-16,Rice-Sullivan,Omar Wilkins,Sales Order,NEW_SKU_1048,Iterate granular content,16,442.23,7075.68,__import__.partner_73,638939850.0,rice-sullivan@example.com,mitchell.admin@example.com,650 Example St,City13,base.us,Product NEW_SKU_1048,Size,200W,INT-8770,307.78,31.69,warning
SO01074,2024-08-09,2025-01-31,"Brown, Ramos and Romero",Jonathan Daugherty,Sales Order,NEW_SKU_1004,Grow best-of-breed mindshare,10,213.42,2134.2,__import__.partner_74,652095085.0,"brown,_ramos_and_romero@example.com",mitchell.admin@example.com,739 Example St,City20,base.us,Product NEW_SKU_1004,Color,200W,INT-1672,335.75,266.53,error
SO01075,2025-01-24,2025-05-06,King-Franco,Kimberly Jones,Sales Order,NEW_SKU_1045,Deploy e-business networks,8,359.19,2873.52,__import__.partner_75,691984250.0,king-franco@example.com,mitchell.admin@example.com,302 Example St,City97,base.us,Product NEW_SKU_1045,Color,Steel,INT-1413,241.62,211.12,info
SO01076,2024-06-19,2025-04-04,"Jenkins, Walker and Kidd",Dana Hernandez,Sales Order,NEW_SKU_1064,Synthesize front-end info-mediaries,20,405.36,8107.200000000001,__import__.partner_76,696322659.0,"jenkins,_walker_and_kidd@example.com",mitchell.admin@example.com,948 Example St,City45,base.us,Product NEW_SKU_1064,Color,Large,INT-3508,394.64,15.07,error
SO01077,2025-01-14,2025-02-02,Hernandez and Sons,Sabrina Blake,Sales Order,NEW_SKU_1042,Productize back-end info-mediaries,20,51.67,1033.4,__import__.partner_77,635811182.0,hernandez_and_sons@example.com,mitchell.admin@example.com,917 Example St,City73,base.us,Product NEW_SKU_1042,Material,Steel,INT-7103,282.42,100.0,warning
SO01078,2024-08-07,2025-02-13,"Roberts, Sullivan and Clark",Dr. Ryan Esparza,Sales Order,NEW_SKU_1010,Brand global web services,16,340.25,5444.0,__import__.partner_78,665007561.0,"roberts,_sullivan_and_clark@example.com",mitchell.admin@example.com,290 Example St,City6,base.us,Product NEW_SKU_1010,Power,Large,INT-6681,251.27,111.19,success
SO01079,2024-12-18,2025-01-18,Meadows LLC,Justin Bonilla,Sales Order,NEW_SKU_1049,Seize global deliverables,14,421.71,5903.94,__import__.partner_79,664018812.0,meadows_llc@example.com,mitchell.admin@example.com,492 Example St,City51,base.us,Product NEW_SKU_1049,Material,Red,INT-7484,24.08,67.89,warning
SO01080,2024-12-21,2025-03-04,Hernandez-Murray,Adriana Young,Sales Order,NEW_SKU_1029,Mesh plug-and-play markets,14,126.72,1774.08,__import__.partner_80,684186598.0,hernandez-murray@example.com,mitchell.admin@example.com,898 Example St,City17,base.us,Product NEW_SKU_1029,Material,Red,INT-8615,281.2,191.0,warning
SO01081,2025-02-22,2025-04-26,Ortiz-Cox,Denise Martinez,Sales Order,NEW_SKU_1085,Harness best-of-breed experiences,14,167.68,2347.52,__import__.partner_81,669618980.0,ortiz-cox@example.com,mitchell.admin@example.com,306 Example St,City78,base.us,Product NEW_SKU_1085,Power,Large,INT-8947,20.15,17.77,info
